number,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius,gravitation
4011,RR Caeli b,69.0,1334.76,13.658,2012,Gas Giant,12.991999999999999,5.3 AU,11.9 years,0.0,RR Cae,Eclipse Timing Variations,17.6,,04h21m05.56s,-48d39m07.1s,,0.44,,77.65008772048328
4012,SR 12 AB c,366.0,4131.400000000001,13.265,2010,Gas Giant,12.32,Unknown,365 days,0.0,SR 12 AB,Imaging,,,16h27m19.51s,-24d41m40.4s,,,,267.2800972996596
4013,SWEEPS-11 b,27727.0,3082.66,19.83,2006,Gas Giant,12.655999999999999,0.03 AU,1.8 days,0.0,SWEEPS-11,Transit,,,17h59m02.00s,-29d11m53.5s,,1.1,1.45,188.98332512070132
4014,SWEEPS-4 b,27727.0,1207.64,18.8,2006,Gas Giant,9.072,0.055 AU,4.2 days,0.0,SWEEPS-4,Transit,,,17h58m53.92s,-29d11m20.6s,,1.24,1.18,144.08613689093303
4015,TAP 26 b,480.0,527.548,11.81,2017,Gas Giant,13.44,0.0968 AU,10.8 days,0.0,TAP 26,Radial Velocity,,,04h18m51.70s,+17d23m16.6s,4620.0,1.04,1.17,28.678354884406858
4016,Tau Bootis b,51.0,1890.91,4.5,1996,Gas Giant,12.767999999999999,0.049 AU,3.3 days,0.01,tau Boo,Radial Velocity,,,13h47m15.74s,+17d27m24.9s,6400.0,1.34,1.46,113.89794851131114
4018,Tau Ceti f,12.0,1248.9540000000002,3.5,2017,Super Earth,20.272,1.334 AU,1.7 years,0.16,tau Cet,Radial Velocity,,,01h44m04.08s,-15d56m14.9s,,0.78,,29.843107228554395
4020,Tau Ceti h,12.0,581.5740000000001,3.5,2017,Super Earth,13.328,0.243 AU,49.4 days,0.23,tau Cet,Radial Velocity,,,01h44m04.08s,-15d56m14.9s,,0.78,,32.14887689649451
4021,Tau Geminorum b,367.0,6546.68,4.42,2013,Gas Giant,12.096,1.17 AU,305.5 days,0.03,tau Gem,Radial Velocity,,,07h11m08.37s,+30d14m42.6s,4388.0,2.3,26.8,439.3679240062332
4023,Teegarden's Star b,12.0,333.69,15.08,2019,Super Earth,11.424,0.0252 AU,4.9 days,0.0,Teegarden's Star,Radial Velocity,,,02h53m00.89s,+16d52m52.64s,2904.0,0.09,0.11,25.107160235650312
4025,TOI-1130 b,190.0,4099.62,11.368,2020,Neptune-like,3.6512,0.04394 AU,4.1 days,0.22,TOI-1130,Transit,87.98,,19h05m30.24s,-41d26m15.49s,4250.0,0.68,0.69,3019.6954799479927
4026,TOI-1130 c,190.0,309.5372,11.368,2020,Gas Giant,16.799999999999997,0.07098 AU,8.4 days,0.05,TOI-1130,Transit,87.43,0.38,19h05m30.24s,-41d26m15.49s,4250.0,0.68,0.69,10.769240542616783
4028,TOI-125 b,363.0,3019.1,10.892000000000001,2019,Neptune-like,2.7215999999999996,0.05186 AU,4.7 days,0.19,TOI-125,Transit,88.92,2.57,01h34m22.735s,-66d40m32.95s,5320.0,0.86,0.85,4002.392691414807
4030,TOI-125 d,363.0,4322.08,10.892000000000001,2020,Neptune-like,2.9232,0.137 AU,20 days,0.17,TOI-125,Transit,88.795,2.98,01h34m22.735s,-66d40m32.95s,5320.0,0.86,0.85,4966.684035266656
4032,TOI-1338 b,1317.0,10487.4,11.72,2020,Neptune-like,6.8431999999999995,0.4607 AU,95.2 days,0.09,TOI-1338,Transit,89.37,0.56,06h08m31.97s,-59d32m28.08s,6050.0,1.13,1.33,2199.075591406984
4033,TOI-150.01,1096.0,797.678,11.341,2019,Gas Giant,14.055999999999997,0.07037 AU,5.9 days,0.26,TOI-150,Transit,88.09,1.68,07h31m51.76s,-73d36m22.15s,6255.0,1.35,1.53,39.64559212167799
4034,TOI-157 b,1181.0,375.004,12.73,2020,Gas Giant,14.4032,0.03138 AU,2.1 days,0.0,TOI-157,Transit,82.01,0.686,04h54m48.34s,-76d40m50.17s,5404.0,0.95,1.17,17.75042307908379
4035,TOI-163 b,1359.0,387.716,11.219000000000001,2019,Gas Giant,16.6768,0.058 AU,4.2 days,0.0,TOI-163,Transit,87.24,0.49,05h19m04.3s,-71d53m43.9s,6495.0,1.44,1.65,13.689231687738548
4036,TOI-169 b,1346.0,251.37980000000002,12.36,2020,Gas Giant,12.1632,0.03524 AU,2.3 days,0.0,TOI-169,Transit,80.98,0.76,01h07m06.88s,-75d11m56.19s,5880.0,1.15,1.29,16.68497159866166
4038,TOI-172 b,1098.0,1722.476,11.193,2019,Gas Giant,10.808,0.0914 AU,9.5 days,0.38,TOI-1728,Transit,88.31,1.14,08h02m26.55s,+64d47m48.93s,3980.0,0.65,0.62,144.79491109606474
4039,TOI-1899 b,419.0,209.74800000000002,13.555,2020,Gas Giant,15.344,0.1587 AU,29 days,0.12,TOI-1899,Transit,89.77,0.32,19h57m42.44s,+40d08m36.05s,3841.0,0.63,0.61,8.748053693426893
4040,TOI-216.01,583.0,199.982006,12.324000000000002,2019,Gas Giant,11.278399999999998,0.2069 AU,34.6 days,0.03,TOI-216,Transit,89.83,0.76,04h55m55.25s,-63d15m36.2s,5026.0,0.87,0.84,15.437846742012676
4042,TOI-270 b,73.0,664.202,12.62,2019,Super Earth,13.9664,0.0306 AU,3.4 days,0.0,TOI-270,Transit,88.65,,04h33m39.72s,-51d57m22.44s,3386.0,0.4,0.38,33.43659292504264
4044,TOI-270 d,73.0,1646.204,12.62,2019,Neptune-like,23.855999999999998,0.0733 AU,11.4 days,0.0,TOI-270,Transit,89.69,,04h33m39.72s,-51d57m22.44s,3386.0,0.4,0.38,28.40397957017086
4045,TOI-677 b,464.0,392.80080000000004,9.8,2020,Gas Giant,13.104,0.1038 AU,11.2 days,0.44,TOI-677,Transit,87.63,,09h36m28.65s,-50d27m47.14s,6295.0,1.18,1.28,22.462360138543524
4047,TOI-700 c,101.0,2386.678,13.072000000000001,2020,Neptune-like,2.6431999999999998,0.0929 AU,16.1 days,0.08,TOI-700,Transit,88.868,,06h28m23.229s,-65d34m45.522s,3461.0,0.41,0.42,3354.4750792374775
4049,TOI-763 b,311.0,3111.2619999999997,10.156,2020,Super Earth,2.2736,0.06 AU,5.6 days,0.04,TOI-763,Transit,,4.51,12h57m52.45s,-39d45m27.71s,5450.0,0.92,0.9,5910.160223778669
4051,TOI-813 b,865.0,11567.92,10.322000000000001,2020,Neptune-like,6.708799999999999,0.423 AU,83.9 days,0.0,TOI-813,Transit,89.64,,04h50m46.57s,-60d54m19.62s,5907.0,1.32,1.94,2523.8083774884876
4053,TOI-849 b,734.0,12422.802000000001,11.98,2020,Gas Giant,3.4383999999999997,0.01598 AU,0.8 days,0.0,TOI-849,Transit,86.8,5.2,01h54m51.7910s,-29d25m18.1508s,5373.8,0.93,0.92,10318.048340171636
4055,TRAPPIST-1 c,41.0,438.56399999999996,18.8,2016,Super Earth,11.8272,0.01521 AU,2.4 days,< 0.083,TRAPPIST-1,Transit,89.67,6.45,23h06m29.28s,-05d02m28.6s,2559.0,0.08,0.12,30.786469540726014
4057,TRAPPIST-1 e,41.0,197.036,18.8,2017,Terrestrial,10.2816,0.02817 AU,6.1 days,< 0.085,TRAPPIST-1,Transit,89.86,4.4,23h06m29.28s,-05d02m28.6s,2559.0,0.08,0.12,18.30269176496554
4059,TRAPPIST-1 g,41.0,425.85200000000003,18.8,2017,Super Earth,12.622399999999999,0.0451 AU,12.4 days,< 0.061,TRAPPIST-1,Transit,89.71,5.2,23h06m29.28s,-05d02m28.6s,2559.0,0.08,0.12,26.246149907224332
4061,TrES-1 b,523.0,266.952,11.76,2004,Gas Giant,12.655999999999999,0.03925 AU,3 days,0.0,TrES-1,Transit,90.0,,19h04m09.85s,+36d37m57.5s,5230.0,1.04,0.85,16.36556629911228
4062,TrES-2 b,707.0,473.522,11.411,2006,Gas Giant,15.232,0.03563 AU,2.5 days,0.0,TrES-2,Transit,83.57,,19h07m14.03s,+49d18m59.0s,5850.0,1.36,1.12,20.040893973813727
