number,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius,gravitation
0,11 Comae Berenices b,305.0,6165.32,4.74,2007,Gas Giant,12.096,1.29 AU,326 days,0.23,11 Com,Radial Velocity,,,12h20m43.03s,+17d47m34.3s,4742.0,2.7,19.0,413.7736760058701
1,11 Ursae Minoris b,410.0,4684.372,5.016,2009,Gas Giant,12.208,1.53 AU,1.4 years,0.08,11 UMi,Radial Velocity,,,15h17m05.89s,+71d49m26.0s,4213.0,2.78,29.79,308.6406510315985
2,14 Andromedae b,247.0,1525.44,5.227,2008,Gas Giant,12.879999999999999,0.83 AU,185.8 days,0.0,14 And,Radial Velocity,,,23h31m17.42s,+39d14m10.3s,4813.0,2.2,11.0,90.29302341814297
3,14 Herculis b,59.0,1480.948,6.61,2002,Gas Giant,12.879999999999999,2.93 AU,4.9 years,0.37,14 Her,Radial Velocity,,,16h10m24.31s,+43d49m03.5s,5338.0,0.9,0.93,87.65947690178047
4,16 Cygni B b,69.0,565.6840000000001,6.25,1996,Gas Giant,13.44,1.66 AU,2.2 years,0.68,16 Cyg B,Radial Velocity,,,19h41m51.97s,+50d31m03.1s,5750.0,1.08,1.13,30.751488972436267
5,18 Delphini b,249.0,3273.34,5.506,2008,Gas Giant,12.432,2.6 AU,2.7 years,0.08,18 Del,Radial Velocity,,,20h58m25.94s,+10d50m21.4s,4979.0,2.3,8.5,207.96962363479847
6,1RXS J160929.1-210524 b,473.0,2542.4,12.057,2008,Gas Giant,18.636799999999997,330.0 AU,6505.9 years,0.0,1RXS J160929.1-210524,Imaging,,,16h09m30.30s,-21d04m58.9s,4060.0,0.85,,71.8773375564931
7,24 Bootis b,314.0,289.19800000000004,5.58,2018,Gas Giant,13.888,0.19 AU,30.4 days,0.04,24 Boo,Radial Velocity,,,14h28m37.81s,+49d50m41.5s,4893.0,0.99,10.64,14.723350833299412
8,24 Sextantis b,236.0,632.422,6.441,2010,Gas Giant,13.328,1.333 AU,452.8 days,0.09,24 Sex,Radial Velocity,,,10h23m28.37s,-00d54m08.1s,5098.0,1.54,4.9,34.959707663401126
9,24 Sextantis c,236.0,273.308,6.441,2010,Gas Giant,13.888,2.08 AU,2.4 years,0.29,24 Sex,Radial Velocity,,,10h23m28.37s,-00d54m08.1s,5098.0,1.54,4.9,13.914375512788453
10,2MASS J01033563-5515561 AB b,154.0,4131.400000000001,,2013,Gas Giant,12.32,84.0 AU,1767.2 years,0.0,2MASS J01033563-5515561 A,Imaging,,,01h03m35.63s,-55d15m56.1s,,0.19,,267.2800972996596
11,2MASS J01225093-2439505 b,117.0,7786.1,14.24,2013,Gas Giant,11.2,52.0 AU,593.2 years,0.0,2MASS J01225093-2439505,Imaging,,,01h22m50.94s,-24d39m50.6s,3530.0,0.4,,609.5014218806468
12,2MASS J02192210-3925225 b,129.0,4417.42,15.012,2015,Gas Giant,16.128,156.0 AU,5878.1 years,0.0,2MASS J02192210-3925225,Imaging,,,02h19m22.11s,-39d25m22.5s,3064.0,0.11,0.28,166.76252212736583
13,2MASS J04414489+2301513 b,457.0,2383.5,18.967,2010,Gas Giant,12.655999999999999,15.0 AU,411 years,0.0,2MASS J04414489+2301513,Imaging,,,04h41m44.90s,+23d01m51.4s,,0.02,,146.12112767064536
14,2MASS J12073346-3932539 b,210.0,1271.2,20.15,2004,Gas Giant,12.991999999999999,46.0 AU,2207.3 years,0.0,2MASS J12073346-3932539,Imaging,,,12h07m33.47s,-39d32m54.0s,,0.02,,73.95246449569838
15,2MASS J19383260+4603591 b,1307.0,603.82,12.138,2015,Gas Giant,13.44,0.92 AU,416 days,0.0,2MASS J19383260+4603591,Eclipse Timing Variations,,,19h38m32.61s,+46d03m59.1s,,0.48,,32.824623060465676
16,2MASS J21402931+1625183 A b,82.0,6657.91,17.396,2009,Gas Giant,10.304,Unknown,20.1 years,0.26,2MASS J21402931+1625183 A,Imaging,46.2,,21h40m29.32s,+16d25m18.3s,2300.0,0.08,0.12,615.7678517610987
17,2MASS J22362452+4751425 b,241.0,3972.5,12.51,2016,Gas Giant,12.32,230.0 AU,4505.7 years,0.0,2MASS J22362452+4751425,Imaging,,,22h36m24.53s,+47d51m42.6s,4045.0,0.6,,257.00009355736495
18,30 Arietis B b,146.0,4391.996,6.962000000000001,2009,Gas Giant,12.32,0.99 AU,335.1 days,0.29,30 Ari B,Radial Velocity,,,02h36m57.74s,+24d38m53.0s,6331.0,1.93,1.41,284.13930343702276
19,42 Draconis b,296.0,1233.064,4.82,2008,Gas Giant,12.991999999999999,1.19 AU,479.1 days,0.38,4 UMa,Radial Velocity,,,08h40m12.82s,+64d19m40.6s,4415.0,1.23,18.11,71.73389056082743
20,47 Ursae Majoris b,45.0,804.034,5.05,1996,Gas Giant,13.216,2.1 AU,3 years,0.03,42 Dra,Radial Velocity,,,18h25m59.14s,+65d33m48.5s,4200.0,0.98,22.03,45.202780029138836
21,47 Ursae Majoris c,45.0,171.61200000000002,5.05,2001,Gas Giant,14.223999999999998,3.6 AU,6.6 years,0.1,47 UMa,Radial Velocity,,,10h59m27.97s,+40d25m48.9s,5892.0,1.03,1.23,8.329040170147305
22,47 Ursae Majoris d,45.0,521.192,5.05,2009,Gas Giant,13.44,11.6 AU,38.4 years,0.16,47 UMa,Radial Velocity,,,10h59m27.97s,+40d25m48.9s,5892.0,1.03,1.23,28.33283253640195
23,4 Ursae Majoris b,240.0,2256.38,4.61,2006,Gas Giant,12.655999999999999,0.87 AU,269.3 days,0.43,47 UMa,Radial Velocity,,,10h59m27.97s,+40d25m48.9s,5892.0,1.03,1.23,138.32800086154427
24,51 Eridani b,96.0,635.6,5.23,2015,Gas Giant,13.328,12.0 AU,32 years,0.45,51 Eri,Imaging,133.0,,04h37m36.13s,-02d28m24.8s,,1.75,,35.1353845863328
25,51 Pegasi b,50.0,146.18800000000002,5.5,1995,Gas Giant,14.223999999999998,0.0527 AU,4.2 days,0.01,51 Peg,Radial Velocity,,,22h57m27.98s,+20d46m07.8s,5793.0,1.12,1.2,7.095108293088445
26,55 Cancri b,41.0,263.96468,5.96,1996,Gas Giant,13.888,0.115227 AU,14.7 days,0.0,55 Cnc,Radial Velocity,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94,13.43869802432801
27,55 Cancri c,41.0,54.47092,5.96,2004,Gas Giant,8.511999999999999,0.241376 AU,44.4 days,0.02,55 Cnc,Radial Velocity,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94,7.382309889644899
28,55 Cancri d,41.0,1232.4284,5.96,2002,Gas Giant,12.991999999999999,5.503 AU,13.2 years,0.02,55 Cnc,Radial Velocity,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94,71.69691432857957
30,55 Cancri f,41.0,44.809799999999996,5.96,2007,Gas Giant,7.5824,0.788 AU,262 days,0.31,55 Cnc,Radial Velocity,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94,7.653329544815543
32,61 Virginis c,28.0,5783.96,4.74,2009,Neptune-like,4.4576,0.2175 AU,38 days,0.14,61 Vir,Radial Velocity,,,13h18m24.32s,-18d18m40.3s,5577.0,0.94,0.96,2858.339971374607
34,6 Lyncis b,179.0,638.7779999999999,5.86,2008,Gas Giant,13.328,2.11 AU,2.6 years,0.07,61 Vir,Radial Velocity,,,13h18m24.32s,-18d18m40.3s,5577.0,0.94,0.96,35.31106150926445
35,70 Virginis b,58.0,2380.322,4.97,1996,Gas Giant,12.655999999999999,0.481 AU,116.7 days,0.4,7 CMa,Radial Velocity,90.0,,06h36m41.04s,-19d15m21.2s,4826.0,1.34,4.87,145.92629950041783
36,75 Ceti b,271.0,953.4000000000001,5.35,2012,Gas Giant,13.104,2.1 AU,1.9 years,0.12,7 CMa,Radial Velocity,90.0,,06h36m41.04s,-19d15m21.2s,4826.0,1.34,4.87,54.52029159840661
37,7 Canis Majoris b,65.0,587.9300000000001,3.92,2011,Gas Giant,13.44,1.758 AU,2 years,0.06,70 Vir,Radial Velocity,,,13h28m25.81s,+13d46m43.6s,5495.0,1.09,1.89,31.960817190453422
38,7 Canis Majoris c,65.0,276.486,3.92,2019,Gas Giant,13.888,2.153 AU,2.7 years,0.08,75 Cet,Radial Velocity,,,02h32m09.42s,-01d02m05.6s,4846.0,2.49,10.5,14.076170576890643
39,81 Ceti b,331.0,1684.34,5.65,2008,Gas Giant,12.767999999999999,2.5 AU,2.6 years,0.21,8 UMi,Radial Velocity,,,14h56m48.35s,+74d54m03.3s,4847.0,1.44,10.3,101.45531548066371
40,8 Ursae Minoris b,533.0,416.31800000000004,6.83,2015,Gas Giant,13.664,0.49 AU,93.4 days,0.06,81 Cet,Radial Velocity,,,02h37m41.80s,-03d23m46.2s,4785.0,2.4,11.0,21.89577255027032
41,91 Aquarii b,144.0,1016.96,4.25,2013,Gas Giant,13.104,0.7 AU,181.4 days,0.03,91 Aqr,Radial Velocity,,,23h15m53.50s,-09d05m15.9s,4665.0,1.4,11.0,58.15497770496705
42,AB Pictoris b,163.0,4290.3,9.128,2005,Gas Giant,12.32,260.0 AU,4421.7 years,0.0,AB Pic,Imaging,,,06h19m12.91s,-58d03m15.5s,,,,277.5601010419542
43,Alpha Arietis b,66.0,572.0400000000001,2.0,2010,Gas Giant,13.44,1.2 AU,380.8 days,0.25,alf Ari,Radial Velocity,,,02h07m10.41s,+23d27m44.7s,4553.0,1.5,13.9,31.097011320441172
44,Alpha Tauri b,67.0,2056.166,0.85,2015,Gas Giant,12.655999999999999,1.46 AU,1.7 years,0.1,alf Tau,Radial Velocity,,,04h35m55.24s,+16d30m33.5s,4055.0,1.13,45.1,126.05382613721005
45,AU Microscopii b,32.0,57.204,8.81,2020,Gas Giant,4.199999999999999,0.066 AU,8.5 days,0.1,AU Mic,Transit,,4.4,20h45m09.53s,-31d20m27.2s,3700.0,0.5,0.75,31.843339592131763
46,BD+03 2562 b,8540.0,2033.92,9.58,2017,Gas Giant,12.655999999999999,1.3 AU,481.9 days,0.2,BD+03 2562,Radial Velocity,,,11h50m15.55s,+02d45m36.5s,4095.0,1.14,32.35,124.69002894561737
48,BD-06 1339 c,66.0,54.026,9.7,2013,Gas Giant,8.366399999999999,0.435 AU,125.9 days,0.31,BD+15 2375,Radial Velocity,,,11h45m55.72s,+14d36m59.0s,4649.0,1.08,8.95,7.57907764853255
50,BD-08 2823 c,135.0,104.87400000000001,9.88,2009,Gas Giant,12.432,0.68 AU,237.6 days,0.19,BD+20 2457,Radial Velocity,,,10h16m44.86s,+19d53m29.1s,4259.0,10.83,71.02,6.663104446551796
51,BD-10 3166 b,276.0,187.502,10.08,2000,Gas Giant,14.111999999999998,0.04 AU,3.5 days,0.02,BD+20 2457,Radial Velocity,,,10h16m44.86s,+19d53m29.1s,4259.0,10.83,71.02,9.245269175641367
52,BD-11 4672 b,89.0,206.57000000000002,9.99,2014,Gas Giant,14.0,2.36 AU,4.5 years,0.05,BD+20 274,Radial Velocity,,,01h43m40.88s,+21d00m19.1s,4296.0,0.8,17.3,10.34908536744282
54,BD-13 2130 b,3095.0,3108.084,9.45,2007,Gas Giant,12.432,1.66 AU,2 years,0.21,BD+48 738,Radial Velocity,,,02h42m50.45s,+49d35m13.1s,4414.0,0.74,11.0,197.4701863250805
55,BD+14 4559 b,161.0,330.512,9.63,2009,Gas Giant,13.776,0.78 AU,268.9 days,0.29,BD+48 740,Radial Velocity,,,02h42m58.22s,+48d55m48.2s,4534.0,1.09,10.33,17.10140354194398
56,BD+15 2375 b,2525.0,337.1858,10.31,2016,Gas Giant,13.776,0.576 AU,153.2 days,0.0,BD+49 828,Radial Velocity,,,03h02m33.73s,+49d43m48.0s,4943.0,1.52,7.6,17.446720344233235
57,BD+15 2940 b,1408.0,352.75800000000004,9.046,2013,Gas Giant,13.776,0.539 AU,137.5 days,0.26,BD-06 1339,Radial Velocity,,,05h53m00.28s,-05d59m41.4s,4324.0,0.7,,18.25245954957483
58,BD-17 63 b,113.0,1620.78,9.566,2008,Gas Giant,12.879999999999999,1.34 AU,1.8 years,0.54,BD-06 1339,Radial Velocity,,,05h53m00.28s,-05d59m41.4s,4324.0,0.7,,95.93633738177691
59,BD+20 2457 b,5450.0,17666.502,9.75,2009,Gas Giant,11.536,1.05 AU,379.6 days,0.15,BD-08 2823,Radial Velocity,,,10h00m47.72s,-09d31m00.0s,4816.0,0.5,0.71,1303.559513095164
60,BD+20 2457 c,5450.0,3962.9660000000003,9.75,2009,Gas Giant,12.32,2.01 AU,1.7 years,0.18,BD-08 2823,Radial Velocity,,,10h00m47.72s,-09d31m00.0s,4816.0,0.5,0.71,256.38329333282735
61,BD+20 274 b,4514.0,1334.76,9.36,2012,Gas Giant,12.991999999999999,1.3 AU,1.6 years,0.21,BD-10 3166,Radial Velocity,,,10h58m28.80s,-10d46m13.4s,5393.0,1.47,0.91,77.65008772048328
63,BD+48 738 b,2910.0,289.19800000000004,9.14,2011,Gas Giant,13.888,1.0 AU,392.6 days,0.2,BD-11 4672,Radial Velocity,,,18h33m28.84s,-11d38m09.7s,4550.0,0.65,0.64,14.723350833299412
64,BD+48 740 b,2215.0,540.26,8.699,2018,Gas Giant,13.44,1.7 AU,2 years,0.76,BD-13 2130,Radial Velocity,,,07h37m09.23s,-13d54m23.9s,4545.0,2.12,19.17,29.369399580416655
65,BD+49 828 b,1460.0,508.48,9.38,2015,Gas Giant,13.552,4.2 AU,7.1 years,0.35,BD-17 63,Radial Velocity,,,00h28m34.31s,-16d13m34.8s,4714.0,0.74,0.69,27.186786756481588
66,Beta Cancri b,295.0,2478.84,3.53,2014,Gas Giant,12.544,1.7 AU,1.7 years,0.08,bet Cnc,Radial Velocity,,,08h16m30.92s,+09d11m08.0s,4092.1,1.7,47.2,154.69176549709252
67,Beta Pictoris b,64.0,3495.8,3.85,2008,Gas Giant,18.479999999999997,9.1 AU,21 years,0.08,bet Pic,Imaging,88.9,,05h47m17.09s,-51d03m59.4s,,1.76,,100.51559214688058
68,Beta Pictoris c,64.0,2860.2000000000003,3.85,2019,Gas Giant,12.544,2.7 AU,3.3 years,0.24,bet Pic,Radial Velocity,90.0,,05h47m17.09s,-51d03m59.4s,,1.76,,178.4904986504914
69,Beta Ursae Minoris b,127.0,1938.58,2.08,2014,Gas Giant,12.767999999999999,1.4 AU,1.4 years,0.19,bet UMi,Radial Velocity,,,14h50m42.33s,+74d09m19.8s,4126.0,1.4,38.3,116.76932536453748
70,CFBDSIR J145829+101343 b,75.0,3336.9,,2011,Gas Giant,12.432,2.6 AU,27.5 years,0.0,CFBDSIR J145829+101343,Imaging,,,14h58m29.00s,+10d13m43.0s,580.5,0.02,,212.00786875392077
71,CHXR 73 b,623.0,3994.4282000000003,17.293,2006,Gas Giant,12.32,210.0 AU,5146.9 years,0.0,CHXR 73,Imaging,,,11h06m28.77s,-77d37m33.2s,,0.35,,258.41873407380166
72,CI Tauri b,515.0,3686.48,12.939,2019,Gas Giant,12.432,Unknown,9 days,0.25,CI Tau,Radial Velocity,50.5,,04h33m52.01s,+22d50m30.1s,,0.9,,234.21821690909343
73,CoRoT-10 b,1125.0,873.95,15.22,2010,Gas Giant,10.863999999999999,0.1055 AU,13.2 days,0.53,CoRoT-1,Transit,85.1,0.38,06h48m19.17s,-03d06m07.7s,5950.0,0.95,1.11,72.71062270695141
74,CoRoT-11 b,1827.0,740.474,12.939,2010,Gas Giant,16.016,0.0436 AU,3 days,0.0,CoRoT-10,Transit,88.55,3.7,19h24m15.29s,+00d44m46.1s,5075.0,0.89,0.79,28.34604582194843
75,CoRoT-12 b,3751.0,291.42260000000005,15.515,2010,Gas Giant,16.128,0.04016 AU,2.8 days,0.07,CoRoT-11,Transit,83.17,0.99,18h42m44.94s,+05d56m15.7s,6440.0,1.27,1.37,11.001527538906076
76,CoRoT-13 b,3458.0,415.68240000000003,15.039000000000001,2010,Gas Giant,9.911999999999999,0.051 AU,4 days,0.0,CoRoT-12,Transit,85.48,0.411,06h43m03.76s,-01d17m47.2s,5675.0,1.08,1.12,41.54605974746675
77,CoRoT-14 b,4371.0,2415.28,16.033,2010,Gas Giant,12.208,0.027 AU,1.5 days,0.0,CoRoT-13,Transit,88.02,2.34,06h50m53.07s,-05d05m11.2s,5945.0,1.09,1.01,159.13629225509828
78,CoRoT-16 b,2740.0,170.02300000000002,15.63,2011,Gas Giant,13.104,0.0618 AU,5.4 days,0.33,CoRoT-14,Transit,79.6,7.3,06h53m41.81s,-05d32m09.7s,6035.0,1.13,1.21,9.72278533504918
79,CoRoT-17 b,3001.0,772.2540000000001,15.46,2011,Gas Giant,11.424,0.0461 AU,3.8 days,0.0,CoRoT-16,Transit,85.01,0.44,18h34m05.93s,-06d00m09.3s,5650.0,1.1,1.19,58.10514225964788
80,CoRoT-18 b,2838.0,1102.766,15.0,2011,Gas Giant,14.671999999999999,0.0295 AU,1.9 days,< 0.08,CoRoT-17,Transit,88.34,2.82,18h34m47.82s,-06d36m44.0s,5740.0,1.04,1.59,50.30318945606008
81,CoRoT-19 b,2512.0,352.75800000000004,14.007,2011,Gas Giant,14.447999999999999,0.0518 AU,3.9 days,0.05,CoRoT-18,Transit,86.5,2.2,06h32m41.38s,-00d01m53.7s,5440.0,0.95,1.0,16.594042456914707
82,CoRoT-1 b,2627.0,327.334,13.6,2008,Gas Giant,16.688,0.02752 AU,1.5 days,0.0,CoRoT-19,Transit,88.0,0.71,06h28m08.06s,-00d10m14.5s,6090.0,1.21,1.65,11.541794211091176
83,CoRoT-20 b,2819.0,1366.54,14.66,2011,Gas Giant,9.408,0.09 AU,9.2 days,0.59,CoRoT-2,Transit,88.08,1.47,19h27m06.49s,+01d23m01.4s,5625.0,0.96,0.91,151.60674453276306
84,CoRoT-20 c,2819.0,5402.6,14.66,2018,Gas Giant,12.208,2.9 AU,4.6 years,0.6,CoRoT-20,Transit,88.21,,06h30m52.90s,+00d13m36.9s,,1.14,,355.9627589916672
85,CoRoT-21 b,4563.0,718.228,16.0,2012,Gas Giant,14.559999999999999,0.0417 AU,2.7 days,0.0,CoRoT-20,Radial Velocity,,,06h30m52.90s,+00d13m36.9s,,1.14,,33.268281933347716
87,CoRoT-23 b,1957.0,889.84,15.63,2011,Gas Giant,11.76,0.048 AU,3.6 days,0.16,CoRoT-22,Transit,89.749,0.249,18h42m40.11s,+06d13m08.9s,5939.0,1.1,1.14,63.18122934946776
89,CoRoT-24 c,1957.0,8898.4,15.18,2014,Neptune-like,4.928,0.098 AU,11.8 days,0.0,CoRoT-24,Transit,86.5,0.9,06h47m41.41s,-03d43m09.5s,4950.0,0.91,0.86,3598.00130980311
90,CoRoT-25 b,3262.0,85.80600000000001,14.710999999999999,2013,Gas Giant,12.096,0.0578 AU,4.9 days,0.0,CoRoT-24,Transit,89.0,1.3,06h47m41.41s,-03d43m09.5s,4950.0,0.91,0.86,5.758705800081698
91,CoRoT-26 b,5448.0,165.256,15.468,2013,Gas Giant,14.111999999999998,0.0526 AU,4.2 days,0.0,CoRoT-25,Transit,84.5,0.15,18h42m31.12s,+06d30m49.8s,6040.0,1.09,1.19,8.148372832768661
92,CoRoT-27 b,3377.0,3301.9420000000005,15.54,2014,Gas Giant,11.278399999999998,0.0476 AU,3.6 days,< 0.065,CoRoT-26,Transit,86.8,0.28,18h39m00.12s,+06d58m11.2s,5590.0,1.09,1.79,254.89730584568105
93,CoRoT-28 b,1827.0,153.8152,13.412,2015,Gas Giant,10.696,0.0603 AU,5.2 days,0.05,CoRoT-27,Transit,86.7,12.6,18h33m59.00s,+05d32m18.5s,5900.0,1.05,1.08,13.202228867931053
94,CoRoT-29 b,2495.0,270.13,15.239,2015,Gas Giant,10.08,0.0386 AU,2.9 days,0.08,CoRoT-28,Transit,88.1,0.69,18h34m45.20s,+05d34m25.4s,5150.0,1.01,1.78,26.106132960370356
95,CoRoT-2 b,652.0,1102.766,12.57,2008,Gas Giant,16.4192,0.02798 AU,1.7 days,0.01,CoRoT-29,Transit,87.3,1.45,18h35m36.50s,+06d28m46.7s,5260.0,0.97,0.9,40.16707182984608
96,CoRoT-30 b,3132.0,921.62,15.65,2020,Gas Giant,11.300799999999999,0.0844 AU,9.1 days,0.01,CoRoT-3,Transit,85.9,26.4,19h28m13.26s,+00d07m18.6s,6740.0,1.37,1.56,70.86377828819467
97,CoRoT-31 b,7144.0,266.952,15.465,2020,Gas Giant,16.352,0.0586 AU,4.6 days,0.02,CoRoT-30,Transit,90.0,3.45,18h30m24.264s,+06d50m09.424s,5650.0,0.98,0.91,9.803523929131387
98,CoRoT-3 b,2218.0,6883.548000000001,13.292,2008,Gas Giant,11.312,0.05783 AU,4.3 days,0.0,CoRoT-31,Transit,83.2,0.33,06h19m16.975s,-04d25m20.194s,5700.0,1.25,2.15,528.2315578478625
99,CoRoT-4 b,2419.0,228.816,13.561,2008,Gas Giant,13.328,0.09 AU,9.2 days,0.0,CoRoT-4,Transit,90.0,0.525,06h48m46.72s,-00d40m22.0s,6190.0,1.16,1.17,12.648738451079804
100,CoRoT-5 b,2951.0,148.41260000000003,13.902000000000001,2009,Gas Giant,15.545599999999999,0.04947 AU,4 days,0.09,CoRoT-5,Transit,85.83,0.217,06h45m06.54s,+00d48m54.9s,6100.0,1.0,1.19,6.030406484002869
101,CoRoT-6 b,2144.0,940.688,13.912,2009,Gas Giant,13.059199999999999,0.0855 AU,8.9 days,< 0.1,CoRoT-6,Transit,89.07,2.32,18h44m17.41s,+06d39m47.5s,6090.0,1.05,1.02,54.16306706513354
103,CoRoT-7 c,524.0,2669.52,11.668,2009,Neptune-like,2.8335999999999997,0.046 AU,3.7 days,0.0,CoRoT-7,Radial Velocity,80.0,,06h43m49.47s,-01d03m46.9s,5275.0,0.82,0.83,3264.727086399798
104,CoRoT-8 b,1240.0,69.916,14.8,2010,Gas Giant,6.3839999999999995,0.063 AU,6.2 days,0.0,CoRoT-8,Transit,88.4,1.6,19h26m21.24s,+01d25m35.2s,5080.0,0.88,0.77,16.84541087226114
105,CoRoT-9 b,1363.0,266.952,13.69,2009,Gas Giant,11.9392,0.4021 AU,95.3 days,0.13,CoRoT-9,Transit,89.9,0.86,18h43m08.81s,+06d12m15.0s,5625.0,0.96,0.96,18.38965219291882
106,CoRoTID 223977153 b,1912.0,47.67,13.587,2017,Gas Giant,6.3839999999999995,0.071 AU,6.7 days,0.0,CoRoTID 223977153,Transit,89.0,1.1,06h40m46.84s,+09d15m26.8s,5970.0,1.08,0.79,11.485507412905326
107,CT Chamaleontis b,538.0,5402.6,11.773,2007,Gas Giant,24.64,440.0 AU,Infinity years,0.0,CT Cha,Imaging,,,11h04m09.09s,-76d27m19.4s,,,,87.3800318095041
108,DE Canun Venaticorum b,100.0,3822.91154,11.975,2018,Gas Giant,12.32,5.75 AU,11.2 years,0.0,DE CVn,Eclipse Timing Variations,86.0,,13h26m53.27s,+45d32m46.69s,,0.51,,247.32249803436886
109,DENIS-P J082303.1-491201 b,68.0,9057.300000000001,18.558,2013,Gas Giant,11.872,0.36 AU,246.4 days,0.35,DENIS-P J082303.1-491201,Astrometry,56.6,,08h23m03.13s,-49d12m01.3s,,0.07,,631.0180296422735
110,DH Tauri b,457.0,3495.8,12.495999999999999,2004,Gas Giant,30.24,330.0 AU,10441.5 years,0.0,DH Tau,Imaging,,,04h29m41.56s,+26d32m58.3s,,0.33,0.27,37.53823040053255
112,DMPP-1 c,202.0,3050.88,7.981,2019,Neptune-like,3.0576,0.0733 AU,6.6 days,< 0.057,DMPP-1,Radial Velocity,,,05h47m06.27s,-10d37m48.8s,6196.0,1.21,1.26,3204.457955171654
114,DMPP-1 e,202.0,1312.5140000000001,7.981,2019,Super Earth,20.832,0.0651 AU,5.5 days,< 0.07,DMPP-1,Radial Velocity,,,05h47m06.27s,-10d37m48.8s,6196.0,1.21,1.26,29.69838287742445
115,DMPP-2 b,437.0,138.8786,8.567,2019,Gas Giant,14.335999999999999,0.0664 AU,5.2 days,0.08,DMPP-2,Radial Velocity,,,01h49m37.89s,-34d27m32.9s,6500.0,1.44,1.78,6.635446263199607
117,DP Leonis b,995.0,1995.784,18.633,2009,Gas Giant,12.767999999999999,8.19 AU,28 years,0.39,DP Leo,Eclipse Timing Variations,,,11h17m16.00s,+17d57m41.1s,13500.0,,0.01,120.21497758840908
118,DS Tucanae A b,144.0,413.14000000000004,8.469,2019,Neptune-like,5.7008,Unknown,8.1 days,0.0,DS Tuc A,Transit,89.5,,23h39m39.48s,-69d11m44.7s,5428.0,1.01,0.96,124.82926873548743
120,EPIC 201497682 b,831.0,82.628,14.102,2019,Terrestrial,7.750399999999999,Unknown,2.1 days,0.0,EPIC 201497682,Transit,,,11h15m44.79s,+00d29m17.2s,,0.78,,13.50733894101825
122,EPIC 201754305 d,1103.0,343.22400000000005,14.67,2019,Super Earth,11.536,Unknown,2.7 days,0.0,K2-16,Transit,,,11h40m23.34s,+04d33m26.4s,,0.67,,25.325495127590884
124,EPIC 201841433 b,1442.0,435.386,14.867,2019,Super Earth,12.32,Unknown,4.2 days,0.0,EPIC 201841433,Transit,,,11h40m49.63s,+06d08m05.5s,,0.8,,28.167210253887205
126,EPIC 206024342 b,1219.0,1121.834,13.116,2019,Super Earth,19.04,Unknown,4.5 days,0.0,EPIC 206024342,Transit,,,22h05m06.53s,-14d07m18.0s,,0.93,,30.386837359489913
128,EPIC 206042996 b,1492.0,1036.028,16.743,2019,Super Earth,18.144,Unknown,5.3 days,0.0,EPIC 206042996,Transit,,,22h30m03.26s,-13d36m36.4s,,0.56,,30.90268462266064
130,EPIC 206317286 b,1035.0,266.952,14.050999999999998,2019,Terrestrial,10.751999999999999,Unknown,1.6 days,0.0,EPIC 206317286,Transit,,,22h30m28.22s,-07d58m20.7s,,0.71,,22.674904087821684
132,EPIC 211945201 b,596.0,8580.6,10.154,2018,Neptune-like,5.7568,0.1493 AU,19.5 days,0.0,EPIC 211945201,Transit,,,09h06m17.75s,+19d24m08.1s,6069.0,1.17,1.39,2542.4133768926445
134,EPIC 212424622 b,2031.0,1700.23,13.354000000000001,2019,Neptune-like,24.304,Unknown,18.1 days,0.0,EPIC 212424622,Transit,,,13h29m19.54s,-14d21m34.1s,,1.11,,28.2646071166277
136,EPIC 212587672 b,1053.0,463.988,12.487,2019,Super Earth,12.544,Unknown,15.3 days,0.0,EPIC 212587672,Transit,,,13h41m46.73s,-10d51m44.8s,,0.95,,28.955125336635263
138,EPIC 212737443 c,1133.0,2447.06,14.835999999999999,2019,Neptune-like,2.6879999999999997,0.28 AU,65.6 days,0.2,EPIC 212737443,Transit,89.63,,13h36m53.21s,-07d19m05.3s,4684.0,0.69,0.67,3325.6525995471798
140,EPIC 220674823 b,803.0,2453.416,12.102,2016,Super Earth,20.384,0.0134 AU,0.6 days,0.0,EPIC 220674823,Transit,,,00h52m19.15s,+10d47m40.9s,5617.0,0.97,0.98,57.98066112638711
142,EPIC 246851721 b,1098.0,953.4000000000001,11.439,2018,Gas Giant,11.771199999999999,0.07229 AU,6.2 days,0.0,EPIC 246851721,Transit,86.21,3.1,05h15m40.74s,+16d16m43.5s,6202.0,1.32,1.59,67.56541698682042
143,EPIC 248847494 b,1827.0,4131.400000000001,12.415999999999999,2018,Gas Giant,12.432,4.5 AU,10 years,0.0,EPIC 248847494,Transit,89.87,,10h37m33.42s,+11d50m33.8s,4898.0,0.9,2.7,262.48593274294956
145,EPIC 249893012 c,1058.0,4662.126,11.427999999999999,2020,Neptune-like,3.6624,0.13 AU,15.6 days,0.07,EPIC 249893012,Transit,87.94,1.62,15h12m59.57s,-16d43m28.3s,5430.0,1.05,1.71,3413.0546891553977
